,airport,lat,long
1,MEM,35.0420679,-89.9791729
2,AUS,30.1974711,-97.6663529
3,MCI,39.2991181,-94.7107786
4,LAX,33.9415889,-118.40853
5,ELP,31.8053354,-106.3824345
6,JFK,40.6413111,-73.7781391
7,ORD,41.9741625,-87.9073214
8,MSY,29.9922012,-90.2590112
9,SAN,32.7338006,-117.1933038
10,IAH,29.9902199,-95.3367827
11,ATL,33.6407282,-84.4277001
12,DFW,32.8998091,-97.0403352
13,IAD,38.9531162,-77.4565388
14,LAS,36.0839998,-115.1537389
15,CLE,41.4057985,-81.8538669
16,BWI,39.1774042,-76.6683922
17,BOS,42.3656132,-71.0095602
18,ONT,34.0559781,-117.598057
19,LBB,33.6569253,-101.8216428
20,TPA,27.9834776,-82.5370781
21,DAL,32.8481029,-96.8512063
22,PHX,33.4372686,-112.0077881
23,ABQ,35.0433333,-106.6129085
24,SFO,37.6213129,-122.3789554
25,JAX,30.4940713,-81.6879368
26,SJC,37.3639472,-121.9289375
27,MCO,28.4311577,-81.308083
28,CVG,39.0532746,-84.6630165
29,SLC,40.7899404,-111.9790706
30,HOU,29.6453103,-95.2773601
31,DEN,39.8560963,-104.6737376
32,BNA,36.126317,-86.6773713
33,STL,38.7522782,-90.3716809
34,HRL,26.2264071,-97.6539691
35,EWR,40.6895314,-74.1744624
36,OKC,35.393056,-97.600556
37,TUL,36.198778,-95.8838659
38,SNA,33.6761901,-117.8674759
39,MAF,31.9417386,-102.2047497
40,TUS,32.1145102,-110.9392269
41,RDU,35.880079,-78.7879963
42,MSP,44.8847554,-93.2222846
43,MDW,41.7867759,-87.7521884
44,SAT,29.5311973,-98.4683484
45,TYS,35.810833,-83.993889
46,BHM,33.5624269,-86.754126
47,PHL,39.8743959,-75.2424229
48,SEA,47.4502499,-122.3088165
49,LGB,33.8169488,-118.151412
50,FLL,26.0742344,-80.1506022
51,IND,39.7168593,-86.2955952
52,CLT,35.2144026,-80.9473146
53,OAK,37.7125689,-122.2197428
54,ORF,36.8956837,-76.2000161
55,DSM,41.5341333,-93.6587958
56,DTW,42.2161722,-83.3553842
