,Year,Name,Tm,Team,Position,VetStatus,Salary,SalaryPerc,Rk,Code,Age,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,2009,AaronCook,COL,colorado-rockies,SP,Pre-Arb,9583333,14.15,276,cookaa01,30,NL,26,58,44,3,5,1,0,0,6,0,0,7,14,0.114,0.245,0.136,0.382,0,6,0,1,5,1,0
2,2009,AaronHarang,CIN,cincinnati-reds,SP,Vet,11000000,20.08,539,haranaa01,31,NL,25,54,47,1,7,1,0,1,6,0,0,1,12,0.149,0.167,0.234,0.401,5,11,0,0,6,0,0
3,2009,AaronHill,TOR,toronto-blue-jays,3B,Arb 2,2590000,3.71,579,hillaa01,27,AL,158,734,682,103,195,37,0,36,108,6,2,42,98,0.286,0.33,0.499,0.829,114,340,17,5,1,4,1
4,2009,AaronLaffey,CLE,cleveland-indians,RP,Pre-Arb,408700,0.49,693,laffeaa01,24,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
5,2009,AaronRowand,SFG,san-francisco-giants,CF,Pre-Arb,9600000,15.77,1091,rowanaa01,31,NL,144,546,499,61,130,30,2,15,64,4,1,30,125,0.261,0.319,0.419,0.738,92,209,12,14,0,3,2
6,2009,AdamDunn,WSN,washington-nationals,DH,Vet,8000000,27.49,351,dunnad01,29,NL,159,668,546,81,146,29,0,38,105,0,1,116,177,0.267,0.398,0.529,0.928,144,289,8,4,0,2,16
7,2009,AdamEverett,DET,detroit-tigers,SS,Pre-Arb,1000000,0.92,375,everead01,32,AL,118,390,345,43,82,21,0,3,44,5,2,22,61,0.238,0.288,0.325,0.613,61,112,9,4,15,4,0
8,2009,AdamJones,BAL,baltimore-orioles,CF,Pre-Arb,460000,0.82,650,jonesad01,23,AL,119,519,473,83,131,22,3,19,70,10,4,36,93,0.277,0.335,0.457,0.792,105,216,13,7,0,3,3
9,2009,AdamKennedy,OAK,oakland-athletics,2B,Vet,4000000,6.48,669,kennead01,33,AL,129,587,529,65,153,29,1,11,63,20,6,45,86,0.289,0.348,0.41,0.758,101,217,8,4,5,3,2
10,2009,AdamLaRoche,PIT,pittsburgh-pirates,DH,Arb 3,7050000,11.82,701,larocad01,29,NL,87,368,324,46,80,25,1,12,40,2,2,41,81,0.247,0.329,0.441,0.77,103,143,9,0,0,3,6
11,2009,AdamLind,TOR,toronto-blue-jays,1B,Pre-Arb,411800,0.59,726,lindad01,25,AL,151,654,587,93,179,46,0,35,114,1,1,58,110,0.305,0.37,0.562,0.932,141,330,15,5,0,4,7
12,2009,AdamRosales,CIN,cincinnati-reds,2B,Pre-Arb,400000,0.73,1087,rosalad01,26,NL,87,266,230,23,49,10,1,4,19,1,2,26,46,0.213,0.303,0.317,0.62,65,73,2,5,2,3,0
13,2009,AdamWainwright,STL,st.-louis-cardinals,SP,Arb 1,2887500,4.13,1289,wainwad01,27,NL,39,96,89,7,16,5,1,2,4,0,0,1,26,0.18,0.189,0.326,0.515,34,29,0,0,6,0,0
14,2009,AdrianBeltre,SEA,seattle-mariners,3B,Vet,13400000,15.24,105,beltrad01,30,AL,111,477,449,54,119,27,0,8,44,13,2,19,74,0.265,0.304,0.379,0.683,83,170,19,7,0,2,1
15,2009,AdrianGonzalez,SDP,san-diego-padres,1B,Vet,3200000,10.08,464,gonzaad01,27,NL,160,681,552,90,153,27,2,40,99,1,1,119,109,0.277,0.407,0.551,0.958,162,304,23,5,1,4,22
16,2009,AJBurnett,NYY,new-york-yankees,SP,Vet,16500000,7.5,180,burnea.01,32,AL,2,5,5,0,1,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.4,4,1,0,0,0,0,0
17,2009,AJEllis,LAD,los-angeles-dodgers,C,Pre-Arb,400000,0.4,360,ellisaj01,28,NL,8,10,10,0,1,0,0,0,1,0,0,0,1,0.1,0.1,0.1,0.2,-46,1,0,0,0,0,0
18,2009,AJPierzynski,CHW,chicago-white-sox,C,Vet,6250000,6.87,987,pierza.01,32,AL,138,535,504,57,151,22,1,13,49,1,1,24,52,0.3,0.331,0.425,0.755,93,214,18,1,3,3,6
19,2009,AlbertoArias,HOU,houston-astros,RP,Pre-Arb,401500,0.47,30,ariasal02,25,NL,40,2,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,49,0,0,0,0,0,0
20,2009,AlbertoCallaspo,KCR,kansas-city-royals,3B,Pre-Arb,415500,0.92,209,callaal01,26,AL,155,634,576,79,173,41,8,11,73,2,1,52,51,0.3,0.356,0.457,0.813,115,263,15,1,0,5,4
21,2009,AlbertoGonzalez,WSN,washington-nationals,SS,Pre-Arb,400000,1.37,465,gonzaal03,26,NL,105,316,291,31,77,16,3,1,33,1,1,14,27,0.265,0.299,0.351,0.65,72,102,8,3,2,6,1
22,2009,AlbertPujols,STL,st.-louis-cardinals,DH,Vet,16300000,23.33,1002,pujolal01,29,NL,160,700,568,124,186,45,1,47,135,16,4,115,64,0.327,0.443,0.658,1.101,189,374,23,9,0,8,44
23,2009,AlcidesEscobar,MIL,milwaukee-brewers,SS,Pre-Arb,400000,0.65,369,escobal02,22,NL,38,134,125,20,38,3,1,1,11,4,2,4,18,0.304,0.333,0.368,0.701,87,46,0,2,2,1,0
24,2009,AlexAvila,DET,detroit-tigers,C,Pre-Arb,400000,0.37,44,avilaal01,22,AL,29,72,61,9,17,4,0,5,14,0,0,10,18,0.279,0.375,0.59,0.965,148,36,0,0,0,1,0
25,2009,AlexCora,NYM,new-york-mets,2B,Vet,2000000,1.84,277,coraal01,33,NL,82,308,271,31,68,11,1,1,18,8,3,25,28,0.251,0.32,0.31,0.63,70,84,2,3,8,1,1
26,2009,AlexeiRamirez,CHW,chicago-white-sox,SS,Vet,1225000,1.35,1012,ramiral03,27,AL,148,606,542,71,150,14,1,15,68,14,5,49,66,0.277,0.333,0.389,0.723,86,211,15,1,6,8,3
27,2009,AlexGonzalez,BOS,boston-red-sox,SS,Vet,5375000,4.79,468,gonzaal02,32,AL,44,159,148,26,42,10,0,5,15,2,0,5,29,0.284,0.316,0.453,0.769,95,67,4,2,4,0,0
28,2009,AlexGordon,KCR,kansas-city-royals,LF,Pre-Arb,457000,1.01,474,gordoal01,25,AL,49,189,164,28,38,6,0,6,22,5,0,21,43,0.232,0.324,0.378,0.703,87,62,5,2,1,1,0
29,2009,AlexRios,TOR,toronto-blue-jays,RF,Arb 3,6400000,9.16,1052,riosal01,28,AL,108,479,436,52,115,25,2,14,62,19,3,31,78,0.264,0.317,0.427,0.744,94,186,14,6,0,6,1
30,2009,AlexRodriguez,NYY,new-york-yankees,DH,Vet,33000000,15.01,1065,rodrial01,33,AL,124,535,444,78,127,17,1,30,100,14,2,80,97,0.286,0.402,0.532,0.933,138,236,13,8,0,3,7
31,2009,AlfonsoSoriano,CHC,chicago-cubs,DH,Vet,17000000,14.57,1170,soriaal01,33,NL,117,522,477,64,115,25,1,20,55,9,2,40,118,0.241,0.303,0.423,0.726,84,202,7,3,0,2,6
32,2009,AlfredoAceves,NYY,new-york-yankees,RP,Pre-Arb,406750,0.18,7,aceveal01,26,AL,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
33,2009,AndreEthier,LAD,los-angeles-dodgers,CF,Arb 1,3100000,3.08,372,ethiean01,27,NL,160,685,596,92,162,42,3,31,106,6,4,72,116,0.272,0.361,0.508,0.869,132,303,19,13,0,4,10
34,2009,AndresBlanco,CHC,chicago-cubs,SS,Pre-Arb,400000,0.34,130,blancan01,25,NL,53,138,123,15,31,8,0,1,12,0,2,8,14,0.252,0.303,0.341,0.644,66,42,4,1,6,0,3
35,2009,AndresTorres,SFG,san-francisco-giants,CF,Pre-Arb,400000,0.66,1238,torrean02,31,NL,75,170,152,30,41,6,8,6,23,6,1,16,45,0.27,0.343,0.533,0.876,126,81,0,1,1,0,0
36,2009,AndrewBailey,OAK,oakland-athletics,RP,Pre-Arb,400000,0.65,55,bailean01,25,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
37,2009,AndrewMcCutchen,PIT,pittsburgh-pirates,RF,Pre-Arb,400000,0.67,807,mccutan01,22,NL,108,493,433,74,124,26,9,12,54,22,5,54,83,0.286,0.365,0.471,0.836,121,204,3,2,0,4,2
38,2009,AndyLaRoche,PIT,pittsburgh-pirates,3B,Pre-Arb,413500,0.69,704,larocan01,25,NL,150,590,524,64,135,29,5,12,64,3,1,50,84,0.258,0.33,0.401,0.731,94,210,16,8,6,2,1
39,2009,AndyPettitte,NYY,new-york-yankees,SP,Vet,10500000,4.77,981,pettian01,37,AL,2,6,5,1,1,1,0,0,1,0,0,0,2,0.2,0.2,0.4,0.6,50,2,0,0,1,0,0
40,2009,AndySonnanstine,TBR,tampa-bay-rays,SP,Pre-Arb,430100,1.08,1168,sonnaan01,26,AL,6,12,11,3,3,1,0,0,1,0,0,1,6,0.273,0.333,0.364,0.697,85,4,0,0,0,0,0
41,2009,AngelPagan,NYM,new-york-mets,LF,Pre-Arb,575000,0.53,930,paganan01,27,NL,88,376,343,54,105,22,11,6,32,14,7,25,56,0.306,0.35,0.487,0.837,122,167,3,0,5,3,2
42,2009,AramisRamirez,CHC,chicago-cubs,3B,Vet,16650000,14.27,1013,ramirar01,31,NL,82,342,306,46,97,14,1,15,65,2,1,28,43,0.317,0.389,0.516,0.905,130,158,8,8,0,0,3
43,2009,ArmandoGalarraga,DET,detroit-tigers,SP,Pre-Arb,435000,0.4,423,galarar01,27,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
44,2009,ArthurRhodes,CIN,cincinnati-reds,RP,Pre-Arb,2000000,3.65,1040,rhodear01,39,NL,63,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
45,2009,AsdrubalCabrera,CLE,cleveland-indians,2B,Pre-Arb,416700,0.5,195,cabreas01,23,AL,131,581,523,81,161,42,4,6,68,17,4,44,89,0.308,0.361,0.438,0.799,114,229,13,1,10,3,1
46,2009,AubreyHuff,BAL,baltimore-orioles,1B,Vet,8000000,14.19,607,huffau01,32,AL,110,480,430,51,109,24,1,13,72,0,6,41,74,0.253,0.321,0.405,0.725,89,174,12,4,0,5,7
47,2009,BarryZito,SFG,san-francisco-giants,SP,Vet,18500000,30.38,1364,zitoba01,31,NL,33,67,51,2,6,0,0,0,0,0,0,4,16,0.118,0.182,0.118,0.299,-19,6,1,0,12,0,0
48,2009,BenFrancisco,PHI,philadelphia-phillies,LF,Pre-Arb,154283,0.15,402,francbe01,27,NL,37,104,97,10,27,9,0,5,13,1,4,5,24,0.278,0.317,0.526,0.843,117,51,1,1,0,1,0
49,2009,BenZobrist,TBR,tampa-bay-rays,2B,Vet,425900,1.07,1365,zobribe01,28,AL,152,599,501,91,149,28,7,27,91,17,6,91,104,0.297,0.405,0.543,0.948,149,272,7,2,1,4,4
50,2009,BillHall,SEA,seattle-mariners,3B,Vet,6925000,7.88,523,hallbi03,29,AL,34,131,120,10,24,8,1,2,12,1,2,8,48,0.2,0.244,0.333,0.578,54,40,1,0,0,3,0
51,2009,BillyButler,KCR,kansas-city-royals,DH,Pre-Arb,421000,0.93,190,butlebi03,23,AL,159,672,608,78,183,51,1,21,93,1,0,58,103,0.301,0.362,0.492,0.853,125,299,20,2,0,4,3
52,2009,BlaineBoyer,ARI,arizona-diamondbacks,RP,Pre-Arb,432500,0.62,149,boyerbl01,27,NL,29,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
53,2009,BlakeDeWitt,LAD,los-angeles-dodgers,2B,Pre-Arb,405000,0.4,327,dewitbl01,23,NL,31,53,49,4,10,3,0,2,4,0,0,3,7,0.204,0.245,0.388,0.633,68,19,2,0,0,1,0
54,2009,BlakeHawksworth,STL,st.-louis-cardinals,RP,Pre-Arb,400000,0.57,551,hawksbl01,26,NL,28,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
